Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
N/A	HLA-A2	Homo sapiens	Kd°÷150 mM @ 25°„C	surface plasmon resonance	N/A
N/A	HLA-A2	Homo sapiens	Kd°÷200 mM @ 37°„C	surface plasmon resonance	N/A
N/A	HLA-A2-flu	Homo sapiens	Kd°÷159 mM @ 25°„C	surface plasmon resonance	N/A
N/A	HLA-A2-Pol	Homo sapiens	Kd°÷126 mM @ 25°„C	surface plasmon resonance	N/A
N/A	HLA-A2-HY	Homo sapiens	Kd°÷173 mM @ 25°„C	surface plasmon resonance	N/A
N/A	HLA-A2-HA-1	Homo sapiens	Kd°÷107 mM @ 25°„C	surface plasmon resonance	N/A
N/A	HLA-A2-HY	Homo sapiens	Kd°÷211 mM @ 37°„C	surface plasmon resonance	N/A
N/A	HLA-A2-HA-1	Homo sapiens	Kd°÷132 mM @ 37°„C	surface plasmon resonance	N/A
```
