Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
Cyclophilin A	Capsid	Human immunodeficiency virus 1	Kd = 16 uM	isothermal titration calorimetry	N/A
Cyclophilin A	CA151	Human immunodeficiency virus 1	Kd = 16 uM	isothermal titration calorimetry	N/A
Cyclophilin A	CA	Human immunodeficiency virus 1	Kd = 16 uM	isothermal titration calorimetry	N/A
Cyclophilin A	CA151	Human immunodeficiency virus 1	Kd = 18 uM	surface plasmon resonance	N/A
Cyclophilin A	CA	Human immunodeficiency virus 1	Kd = 15 uM	surface plasmon resonance	N/A
Cyclophilin A	MA-CA	Human immunodeficiency virus 1	Kd = 12 uM	surface plasmon resonance	N/A
Cyclophilin A	CA-NC-p6	Human immunodeficiency virus 1	Kd = 14 uM	surface plasmon resonance	N/A
Cyclophilin A	CA151	Human immunodeficiency virus 1	Kd = 42 uM	surface plasmon resonance	N/A
```
