Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
HBeAg	HBeAg	Hepatitis B virus	Kd=3.5e-09 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=1.7e-08 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=1.5e-08 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=2.6e-08 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=3.4e-09 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=3.5e-09 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=8.4e-10 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=1e-09 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=1.4e-08 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=4.4e-07 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=2e-10 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=3.4e-08 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=4.9e-09 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=3.2e-09 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=3.3e-08 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=3.4e-07 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=2.3e-11 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=1.2e-11 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=1.9e-11 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=9.4e-10 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=1e-10 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=1.3e-10 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=6.9e-09 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=1.4e-07 M	surface plasmon resonance	
HBcAg	HBcAg	Hepatitis B virus	Kd=3.3e-09 M	surface plasmon resonance	
HBeAg	HBeAg	Hepatitis B virus	Kd=1.2e-07 M	surface plasmon resonance	
```
