Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
C19A/C43A LCI	Bovine CPA	Bos taurus	Ki=2.8 nM	enzyme activity assay	2ABZ
C19A/C43A LCI	Human CPA1	Homo sapiens	Ki=3.4 nM	enzyme activity assay	
C19A/C43A LCI	Porcine CPB	Sus scrofa	Ki=5.5 nM	enzyme activity assay	
C19A/C43A LCI	Human CPB	Homo sapiens	Ki=3.5 nM	enzyme activity assay	
LCI	Bovine CPA	Bos taurus	Ki=1.1 nM	enzyme activity assay	
LCI	Human CPA1	Homo sapiens	Ki=1.3 nM	enzyme activity assay	
LCI	Porcine CPB	Sus scrofa	Ki=2.4 nM	enzyme activity assay	
LCI	Human CPB	Homo sapiens	Ki=1.2 nM	enzyme activity assay	

```
