Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
galanin	Gal3	Rattus norvegicus	Kb=38 nM	adenylyl cyclase assay	
HEL	IgNAR	Ginglymostoma cirratum	KD=1.0 nM	surface plasmon resonance	
HEL	IgNAR	Ginglymostoma cirratum	KD=5.0 nM	surface plasmon resonance	
HEL	IgNAR	Ginglymostoma cirratum	KD=8.5 nM	surface plasmon resonance	
HEL	IgNAR	Ginglymostoma cirratum	KD=9.5 nM	surface plasmon resonance	
HEL	IgNAR	Ginglymostoma cirratum	KD=30 nM	surface plasmon resonance	
HEL	IgNAR	Ginglymostoma cirratum	KD=10 nM	surface plasmon resonance	
HEL	IgNAR	Ginglymostoma cirratum	KD=3.3 nM	surface plasmon resonance	
```
