Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
Ad5 fiber knob	CAR	Homo sapiens	Kd=14.8 nM	surface plasmon resonance	
Ad5 fiber knob	IgV	Homo sapiens	Kd=10.4 nM	surface plasmon resonance	
Ala406Lys	CAR	Homo sapiens	Kd=73.7 nM	surface plasmon resonance	
Arg412Asp	CAR	Homo sapiens	Kd=227 nM	surface plasmon resonance	
Asn414Lys	CAR	Homo sapiens	Kd=19.2 nM	surface plasmon resonance	
His456Glu	CAR	Homo sapiens	Kd=17.8 nM	surface plasmon resonance	
Ile458Glu	CAR	Homo sapiens	Kd=14.3 nM	surface plasmon resonance	
Asn470Glu	CAR	Homo sapiens	Kd=21.5 nM	surface plasmon resonance	
Phe472Lys	CAR	Homo sapiens	Kd=12.7 nM	surface plasmon resonance	
Arg481Glu	CAR	Homo sapiens	Kd=137 nM	surface plasmon resonance	
Asn482Glu	CAR	Homo sapiens	Kd=17.9 nM	surface plasmon resonance	
Gly483Glu	CAR	Homo sapiens	Kd=37.8 nM	surface plasmon resonance	
Asp484Ala	CAR	Homo sapiens	Kd=21.7 nM	surface plasmon resonance	
Lys506Ala	CAR	Homo sapiens	Kd=20.7 nM	surface plasmon resonance	
Ser507Ala	CAR	Homo sapiens	Kd=16.1 nM	surface plasmon resonance	
His508Glu	CAR	Homo sapiens	Kd=27.2 nM	surface plasmon resonance	
Lys510Glu1Lys506Ala	CAR	Homo sapiens	Kd=26.1 nM	surface plasmon resonance	

```
