Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
Flu	HLA-A2	Homo sapiens	Kd=159 uM	surface plasmon resonance	
Flu	HLA-A2	Homo sapiens	Kd=207 uM	surface plasmon resonance	
Pol	HLA-A2	Homo sapiens	Kd=126 uM	surface plasmon resonance	
Pol	HLA-A2	Homo sapiens	Kd=236 uM	surface plasmon resonance	
H-Y	HLA-A2	Homo sapiens	Kd=173 uM	surface plasmon resonance	
H-Y	HLA-A2	Homo sapiens	Kd=211 uM	surface plasmon resonance	
HA-1	HLA-A2	Homo sapiens	Kd=107 uM	surface plasmon resonance	
HA-1	HLA-A2	Homo sapiens	Kd=132 uM	surface plasmon resonance	
