Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
mSCP2	Pex5p(C)	Homo sapiens	Kd=109 nM	isothermal titration calorimetry	

mSCP2?+?stearoyl-CoA	Pex5p(C)	Homo sapiens	Kd=124 nM	isothermal titration calorimetry	

preSCP2	Pex5p(C)	Homo sapiens	Kd=74 nM	isothermal titration calorimetry	

PGNAKL	Pex5p(C)	Homo sapiens	Kd=664 nM	isothermal titration calorimetry	

mSCP2	Pex5p(C)?(N382A)	Homo sapiens	Kd=348 nM	isothermal titration calorimetry	

mSCP2	Pex5p(C)?(Q586R)	Homo sapiens	Kd=1343 nM	isothermal titration calorimetry	

mSCP2	Pex5p(C)?(S589Y)	Homo sapiens	Kd=173 nM	isothermal titration calorimetry
